fire_id,model,n_pixels,rmse,mae,r2,pearson_r,top25_iou,top25_f1
2020_293,rf_spectral,50074,0.3109896779060364,0.2580535411834717,-0.5971947908401489,0.10240693701258999,0.1836108883332547,0.3102554904539838
2020_293,rf_structure_terrain,50074,0.24860094487667084,0.19916318356990814,-0.0206373929977417,0.1840363608970614,0.1919897377423033,0.32213320578739685
2020_293,rf_full,50074,0.2681288421154022,0.21562933921813965,-0.18727946281433105,0.17637729703306024,0.20992476851851852,0.34700466339830205
2021_1183,naive_training_mean,107380,0.16662222146987915,0.13166527450084686,-0.006377816200256348,,,
2021_1183,linear_full,107380,0.17362640798091888,0.13760308921337128,-0.09276485443115234,0.1655110119586119,0.18734288864388093,0.3155666159046169
2021_1183,rf_spectral,107380,0.23959778249263763,0.18931181728839874,-1.0809459686279297,-0.005884838711946285,0.15380989114596727,0.2666121903205438
2021_1183,rf_structure_terrain,107380,0.19913195073604584,0.15782736241817474,-0.43739819526672363,0.12094944726619267,0.2039889989490866,0.3388552538721539
2021_1183,rf_full,107380,0.22084864974021912,0.1721264123916626,-0.7680099010467529,0.1523358123437305,0.2233556742019766,0.36515247186420535
2021_1501,naive_training_mean,69997,0.2311250865459442,0.18790844082832336,-0.014793634414672852,,,
2021_1501,linear_full,69997,0.22777564823627472,0.1858948916196823,0.014405608177185059,0.29806732216679854,0.26385729245657746,0.41754285714285716
2021_1501,rf_spectral,69997,0.23960474133491516,0.1939973533153534,-0.0906224250793457,0.1577530572718019,0.2037419177328381,0.3385142857142857
2021_1501,rf_structure_terrain,69997,0.23448418080806732,0.1890331357717514,-0.04450535774230957,0.1890192344695394,0.23928900219531193,0.38617142857142855
2021_1501,rf_full,69997,0.2319452464580536,0.18731878697872162,-0.022008657455444336,0.3217600652180874,0.27448838394872915,0.43074285714285715
2022_607,naive_training_mean,54363,0.31447771191596985,0.2637990117073059,-0.6031394004821777,,,
2022_607,linear_full,54363,0.27746304869651794,0.23421460390090942,-0.247963547706604,0.03718169956952623,0.15693027210884353,0.2712873470287751
2022_607,rf_spectral,54363,0.31261366605758667,0.26235952973365784,-0.5841906070709229,-0.002881516266351804,0.17137322427894963,0.2926022564404101
2022_607,rf_structure_terrain,54363,0.2587372064590454,0.21504266560077667,-0.08519899845123291,0.16734568959507468,0.16484739523136852,0.283036895487285
2022_607,rf_full,54363,0.2593899071216583,0.21631598472595215,-0.09068095684051514,0.2365029823174252,0.2238463614284429,0.3658079453162324
