fire_id,model,n_train,n_test,training_events,seconds,rmse,mae,r2,pearson_r,high_threshold_train_p75,high_iou,high_f1,observed_high_fraction,predicted_high_fraction
2017_849,linear_full,165000,115316,11,0.0662430000083986,0.1783729493618011,0.1415748298168182,0.1126666069030761,0.4276779919713679,0.6330000162124634,0.0,0.0,0.0790870304207568,0.0
2017_849,rf_spectral,165000,115316,11,10.526361599986558,0.1883104890584945,0.1488600075244903,0.0110419392585754,0.3475890887597184,0.6330000162124634,0.0002178649237472,0.000435634937922,0.0790870304207568,0.0005376530576849
2017_849,rf_structure_terrain,165000,115316,11,8.019270400007372,0.2017611116170883,0.1601980775594711,-0.1352819204330444,0.1385855810767227,0.6330000162124634,0.0016476161054474,0.003289811863884,0.0790870304207568,0.005263796871206
2017_849,rf_full,165000,115316,11,20.039913800006616,0.1948588490486145,0.1520376950502395,-0.0589345693588256,0.2438246534737567,0.6330000162124634,0.0092904543134252,0.0184098725470362,0.0790870304207568,0.0066426168094626
2018_1274,naive_training_mean,165000,45701,11,0.0170045999984722,0.3157562613487243,0.2684224843978882,-0.7370181083679199,,0.593999981880188,0.0,0.0,0.5740793418087131,0.0
2018_1274,linear_full,165000,45701,11,0.0637404000008245,0.2895611822605133,0.2467033714056015,-0.4607675075531006,0.3994364698030546,0.593999981880188,0.0002665651180502,0.0005329881600487,0.5740793418087131,0.0006783221373711
2018_1274,rf_spectral,165000,45701,11,10.662102300004335,0.3121831119060516,0.26426962018013,-0.697927713394165,0.235327415748871,0.593999981880188,0.0288067391222594,0.0560002924297254,0.5740793418087131,0.0245290037417124
2018_1274,rf_structure_terrain,165000,45701,11,7.921838399997796,0.3317125737667084,0.2795343697071075,-0.9170095920562744,0.0057203974723055,0.593999981880188,0.059974724679545,0.1131625562065676,0.5740793418087131,0.0682698409225181
2018_1274,rf_full,165000,45701,11,20.41624089999823,0.3178176581859588,0.2646229267120361,-0.7597721815109253,0.193294172675619,0.593999981880188,0.069945560352919,0.1307460172643694,0.5740793418087131,0.0494956346688256
2018_1726,naive_training_mean,165000,41431,11,0.0141882000025361,0.3039381504058838,0.2761545777320862,-1.790954828262329,,0.6359999775886536,0.0,0.0,0.0369771427192199,0.0
2018_1726,linear_full,165000,41431,11,0.0631314999918686,0.3293123841285705,0.2927094101905823,-2.276411771774292,0.0017918806700896,0.6359999775886536,0.0,0.0,0.0369771427192199,0.0003620477420289
2018_1726,rf_spectral,165000,41431,11,10.26862540000002,0.3477225601673126,0.3058097958564758,-2.652986526489258,0.0252491603229703,0.6359999775886536,0.0652818991097922,0.1225626740947075,0.0369771427192199,0.0496729502063672
2018_1726,rf_structure_terrain,165000,41431,11,7.85649600000761,0.2878338396549225,0.2545671164989471,-1.5030300617218018,0.1363031452632508,0.6359999775886536,0.0169306389950846,0.033297529538131,0.0369771427192199,0.0079650503246361
2018_1726,rf_full,165000,41431,11,17.35245570000552,0.3361648023128509,0.2899239659309387,-2.4141831398010254,0.0896003049250924,0.6359999775886536,0.0840958605664488,0.155144694533762,0.0369771427192199,0.083126161569839
2019_105,naive_training_mean,165000,46262,11,0.0172133000014582,0.202658012509346,0.1637393534183502,-0.0061712265014648,,0.6230000257492065,0.0,0.0,0.19971034542389,0.0
2019_105,linear_full,165000,46262,11,0.0612868000025628,0.2340305000543594,0.1824922859668731,-0.3418045043945312,0.1324089910667464,0.6230000257492065,0.0,0.0,0.19971034542389,0.0
2019_105,rf_spectral,165000,46262,11,10.126750299998092,0.2036891132593155,0.1672103852033615,-0.0164358615875244,0.2613821642726843,0.6230000257492065,0.1568627450980392,0.2711864406779661,0.19971034542389,0.0630106783104924
