fire_id,model,n_blocks,rmse,mae,r2,pearson_r
2020_293,rf_full,937,0.20617279410362244,0.16820380091667175,-0.008121013641357422,0.2496487048201423
2021_1183,naive_training_mean,1685,0.12537068128585815,0.09851604700088501,-0.04155564308166504,
2021_1183,linear_full,1685,0.1326548308134079,0.10385506600141525,-0.16610240936279297,0.1724644918777145
2021_1183,rf_spectral,1685,0.16993717849254608,0.13522736728191376,-0.9136712551116943,0.06802136076669354
2021_1183,rf_structure_terrain,1685,0.1568005234003067,0.12201938033103943,-0.629241943359375,0.15496911794494475
2021_1183,rf_full,1685,0.17926038801670074,0.14077536761760712,-1.1294095516204834,0.19272161506512137
2021_1501,naive_training_mean,1267,0.18972986936569214,0.1563994139432907,-0.016106843948364258,
2021_1501,linear_full,1267,0.18254812061786652,0.14499427378177643,0.05936157703399658,0.3589966427792783
2021_1501,rf_spectral,1267,0.18679681420326233,0.14894793927669525,0.015066444873809814,0.23667232186659581
2021_1501,rf_structure_terrain,1267,0.1824849545955658,0.14606085419654846,0.06001240015029907,0.3069696220908789
2021_1501,rf_full,1267,0.17387966811656952,0.13709095120429993,0.1465744972229004,0.4447165240724341
2022_607,naive_training_mean,816,0.24691909551620483,0.19796490669250488,-0.5873720645904541,
2022_607,linear_full,816,0.21314476430416107,0.1720525324344635,-0.18282008171081543,0.06475840634665042
2022_607,rf_spectral,816,0.2421388179063797,0.19769993424415588,-0.5265048742294312,-0.045945542759737584
2022_607,rf_structure_terrain,816,0.19303354620933533,0.15796931087970734,0.029858648777008057,0.2303154652674973
2022_607,rf_full,816,0.19357411563396454,0.15744677186012268,0.024417579174041748,0.3061603354946789
